datum;badid;bad;adresse1;adresse2;ort;plz;kanton;beckenid;becken;typ;temperatur
2003-01-01 00:10:02;14;Zürichsee;;;Zürich;;ZH;43;Tiefenbrunnen;See;7
2003-01-01 00:10:02;14;Zürichsee;;;Zürich;;ZH;44;Mythenquai;See;7.3
2003-01-01 01:10:04;14;Zürichsee;;;Zürich;;ZH;43;Tiefenbrunnen;See;7
2003-01-01 01:10:04;14;Zürichsee;;;Zürich;;ZH;44;Mythenquai;See;7.3
2003-01-01 02:10:03;14;Zürichsee;;;Zürich;;ZH;43;Tiefenbrunnen;See;7
2003-01-01 02:10:03;14;Zürichsee;;;Zürich;;ZH;44;Mythenquai;See;7.3
2003-01-01 03:10:06;14;Zürichsee;;;Zürich;;ZH;43;Tiefenbrunnen;See;7
2003-01-01 03:10:06;14;Zürichsee;;;Zürich;;ZH;44;Mythenquai;See;7.3
2003-01-01 04:10:02;14;Zürichsee;;;Zürich;;ZH;43;Tiefenbrunnen;See;7
2003-01-01 04:10:02;14;Zürichsee;;;Zürich;;ZH;44;Mythenquai;See;7.3
2003-01-01 05:10:01;14;Zürichsee;;;Zürich;;ZH;43;Tiefenbrunnen;See;7
2003-01-01 05:10:01;14;Zürichsee;;;Zürich;;ZH;44;Mythenquai;See;7.3
2003-01-01 06:10:01;14;Zürichsee;;;Zürich;;ZH;43;Tiefenbrunnen;See;7
2003-01-01 06:10:01;14;Zürichsee;;;Zürich;;ZH;44;Mythenquai;See;7.3
2003-01-01 07:10:02;14;Zürichsee;;;Zürich;;ZH;43;Tiefenbrunnen;See;7
2003-01-01 07:10:02;14;Zürichsee;;;Zürich;;ZH;44;Mythenquai;See;7.3
2003-01-01 08:10:01;14;Zürichsee;;;Zürich;;ZH;43;Tiefenbrunnen;See;7
2003-01-01 08:10:01;14;Zürichsee;;;Zürich;;ZH;44;Mythenquai;See;7.3
2003-01-01 09:10:01;14;Zürichsee;;;Zürich;;ZH;43;Tiefenbrunnen;See;7
2003-01-01 09:10:01;14;Zürichsee;;;Zürich;;ZH;44;Mythenquai;See;7.3
2003-01-01 10:10:02;14;Zürichsee;;;Zürich;;ZH;43;Tiefenbrunnen;See;7
2003-01-01 10:10:02;14;Zürichsee;;;Zürich;;ZH;44;Mythenquai;See;7.3
2003-01-01 11:10:01;14;Zürichsee;;;Zürich;;ZH;43;Tiefenbrunnen;See;7
2003-01-01 11:10:01;14;Zürichsee;;;Zürich;;ZH;44;Mythenquai;See;7.3
2003-01-01 12:10:01;14;Zürichsee;;;Zürich;;ZH;43;Tiefenbrunnen;See;7
2003-01-01 12:10:01;14;Zürichsee;;;Zürich;;ZH;44;Mythenquai;See;7.3
2003-01-01 13:10:02;14;Zürichsee;;;Zürich;;ZH;43;Tiefenbrunnen;See;7
2003-01-01 13:10:02;14;Zürichsee;;;Zürich;;ZH;44;Mythenquai;See;7.3
2003-01-01 14:10:01;14;Zürichsee;;;Zürich;;ZH;43;Tiefenbrunnen;See;7
2003-01-01 14:10:01;14;Zürichsee;;;Zürich;;ZH;44;Mythenquai;See;7.4
2003-01-01 15:10:01;14;Zürichsee;;;Zürich;;ZH;43;Tiefenbrunnen;See;7
2003-01-01 15:10:01;14;Zürichsee;;;Zürich;;ZH;44;Mythenquai;See;7.4
2003-01-01 16:10:02;14;Zürichsee;;;Zürich;;ZH;43;Tiefenbrunnen;See;7
2003-01-01 16:10:02;14;Zürichsee;;;Zürich;;ZH;44;Mythenquai;See;7.4
2003-01-01 17:10:01;14;Zürichsee;;;Zürich;;ZH;43;Tiefenbrunnen;See;7
2003-01-01 17:10:01;14;Zürichsee;;;Zürich;;ZH;44;Mythenquai;See;7.4
2003-01-01 18:10:01;14;Zürichsee;;;Zürich;;ZH;43;Tiefenbrunnen;See;7
2003-01-01 18:10:01;14;Zürichsee;;;Zürich;;ZH;44;Mythenquai;See;7.4
2003-01-01 19:10:01;14;Zürichsee;;;Zürich;;ZH;43;Tiefenbrunnen;See;7
2003-01-01 19:10:01;14;Zürichsee;;;Zürich;;ZH;44;Mythenquai;See;7.4
2003-01-01 20:10:02;14;Zürichsee;;;Zürich;;ZH;43;Tiefenbrunnen;See;7
2003-01-01 20:10:02;14;Zürichsee;;;Zürich;;ZH;44;Mythenquai;See;7.4
