datum;badid;bad;adresse1;adresse2;ort;plz;kanton;beckenid;becken;typ;temperatur
2022-01-02 20:30:18;48;Reuss;;;Mellingen;5507;AG;133;Reuss;Fluss;6.6
2022-01-02 20:30:21;5;Frei- und Seebad;Frei- und Seebad Spiez;Schachenstrasse 17;Spiez;3700;BE;15;Thunersee (Spiez);See;6.7
2022-01-02 20:30:21;50;Rhein;;;Rheinfelden;4310;AG;135;Rhein;Fluss;6.8
2022-01-02 20:30:24;125;Inn;;;S-chanf;7525;GR;289;Inn;Fluss;1.2
2022-01-02 20:30:25;51;Rhone;;;Sion;1950;VS;136;Rhone;Fluss;4.1
2022-01-02 20:30:28;7;Badebetriebe Thun;Strandbad Thun;Strandbadweg 10;Thun;3604;BE;98;Flussbad Schwäbis (Aare);Fluss;7.2
2022-01-02 20:30:31;49;Rhein;;;Basel / Weil;4053;BS;134;Rhein;Fluss;7.1
2022-01-02 20:40:23;5;Frei- und Seebad;Frei- und Seebad Spiez;Schachenstrasse 17;Spiez;3700;BE;15;Thunersee (Spiez);See;6.8
2022-01-02 20:50:26;5;Frei- und Seebad;Frei- und Seebad Spiez;Schachenstrasse 17;Spiez;3700;BE;15;Thunersee (Spiez);See;6.8
2022-01-02 21:00:00;7;Badebetriebe Thun;Strandbad Thun;Strandbadweg 10;Thun;3604;BE;22;Strandbad Thun (50m);Freibad;7.8
2022-01-02 21:00:00;7;Badebetriebe Thun;Strandbad Thun;Strandbadweg 10;Thun;3604;BE;23;Strandbad Thun (See);See;6.1
2022-01-02 21:00:29;5;Frei- und Seebad;Frei- und Seebad Spiez;Schachenstrasse 17;Spiez;3700;BE;15;Thunersee (Spiez);See;6.8
2022-01-02 21:05:01;14;Zürichsee;;;Zürich;;ZH;43;Tiefenbrunnen;See;7.1
2022-01-02 21:10:32;5;Frei- und Seebad;Frei- und Seebad Spiez;Schachenstrasse 17;Spiez;3700;BE;15;Thunersee (Spiez);See;6.8
2022-01-02 21:20:35;5;Frei- und Seebad;Frei- und Seebad Spiez;Schachenstrasse 17;Spiez;3700;BE;15;Thunersee (Spiez);See;6.7
2022-01-02 21:30:03;126;Gürbe;;;Belp;3174;BE;290;Gürbe;Fluss;6.2
2022-01-02 21:30:07;17;Stadt Bern;;;Bern;3000;BE;52;Aare Marzili;Fluss;7
2022-01-02 21:30:09;44;Aare;;;Brugg;5200;AG;129;Aare;Fluss;6.7
2022-01-02 21:30:13;43;Emme;;;Emmenmatt;3543;BE;128;Emme;Fluss;5.4
2022-01-02 21:30:15;47;Reuss;;;Luzern;6000;LU;132;Reuss;Fluss;7.2
2022-01-02 21:30:18;48;Reuss;;;Mellingen;5507;AG;133;Reuss;Fluss;6.6
2022-01-02 21:30:21;50;Rhein;;;Rheinfelden;4310;AG;135;Rhein;Fluss;6.8
2022-01-02 21:30:23;125;Inn;;;S-chanf;7525;GR;289;Inn;Fluss;1.2
2022-01-02 21:30:25;51;Rhone;;;Sion;1950;VS;136;Rhone;Fluss;4.1
2022-01-02 21:30:28;7;Badebetriebe Thun;Strandbad Thun;Strandbadweg 10;Thun;3604;BE;98;Flussbad Schwäbis (Aare);Fluss;7.2
2022-01-02 21:30:30;49;Rhein;;;Basel / Weil;4053;BS;134;Rhein;Fluss;7.1
2022-01-02 21:30:39;5;Frei- und Seebad;Frei- und Seebad Spiez;Schachenstrasse 17;Spiez;3700;BE;15;Thunersee (Spiez);See;6.9
2022-01-02 21:40:41;5;Frei- und Seebad;Frei- und Seebad Spiez;Schachenstrasse 17;Spiez;3700;BE;15;Thunersee (Spiez);See;7
2022-01-02 21:50:44;5;Frei- und Seebad;Frei- und Seebad Spiez;Schachenstrasse 17;Spiez;3700;BE;15;Thunersee (Spiez);See;6.8
