datum;badid;bad;adresse1;adresse2;ort;plz;kanton;beckenid;becken;typ;temperatur
2002-01-01 00:10:01;14;Zürichsee;;;Zürich;;ZH;43;Tiefenbrunnen;See;0
2002-01-01 00:10:01;14;Zürichsee;;;Zürich;;ZH;44;Mythenquai;See;0
2002-01-01 00:15:01;17;Stadt Bern;;;Bern;3000;BE;52;Aare Marzili;Fluss;5.1
2002-01-01 01:10:01;14;Zürichsee;;;Zürich;;ZH;43;Tiefenbrunnen;See;0
2002-01-01 01:10:01;14;Zürichsee;;;Zürich;;ZH;44;Mythenquai;See;0
2002-01-01 01:15:01;17;Stadt Bern;;;Bern;3000;BE;52;Aare Marzili;Fluss;5.1
2002-01-01 02:10:03;14;Zürichsee;;;Zürich;;ZH;44;Mythenquai;See;0
2002-01-01 02:10:05;14;Zürichsee;;;Zürich;;ZH;43;Tiefenbrunnen;See;0
2002-01-01 02:15:01;17;Stadt Bern;;;Bern;3000;BE;52;Aare Marzili;Fluss;5.1
2002-01-01 03:10:01;14;Zürichsee;;;Zürich;;ZH;43;Tiefenbrunnen;See;0
2002-01-01 03:10:01;14;Zürichsee;;;Zürich;;ZH;44;Mythenquai;See;0
2002-01-01 03:15:01;17;Stadt Bern;;;Bern;3000;BE;52;Aare Marzili;Fluss;5.1
2002-01-01 04:10:02;14;Zürichsee;;;Zürich;;ZH;43;Tiefenbrunnen;See;0
2002-01-01 04:10:02;14;Zürichsee;;;Zürich;;ZH;44;Mythenquai;See;0
2002-01-01 04:15:02;17;Stadt Bern;;;Bern;3000;BE;52;Aare Marzili;Fluss;4.6
2002-01-01 05:10:01;14;Zürichsee;;;Zürich;;ZH;43;Tiefenbrunnen;See;0
2002-01-01 05:10:01;14;Zürichsee;;;Zürich;;ZH;44;Mythenquai;See;0
2002-01-01 05:15:01;17;Stadt Bern;;;Bern;3000;BE;52;Aare Marzili;Fluss;4.6
2002-01-01 06:10:04;14;Zürichsee;;;Zürich;;ZH;43;Tiefenbrunnen;See;0
2002-01-01 06:10:04;14;Zürichsee;;;Zürich;;ZH;44;Mythenquai;See;0
2002-01-01 06:15:02;17;Stadt Bern;;;Bern;3000;BE;52;Aare Marzili;Fluss;4.6
2002-01-01 07:10:01;14;Zürichsee;;;Zürich;;ZH;43;Tiefenbrunnen;See;0
2002-01-01 07:10:01;14;Zürichsee;;;Zürich;;ZH;44;Mythenquai;See;0
2002-01-01 07:15:01;17;Stadt Bern;;;Bern;3000;BE;52;Aare Marzili;Fluss;4.4
2002-01-01 08:10:01;14;Zürichsee;;;Zürich;;ZH;43;Tiefenbrunnen;See;0
2002-01-01 08:10:01;14;Zürichsee;;;Zürich;;ZH;44;Mythenquai;See;0
2002-01-01 08:15:02;17;Stadt Bern;;;Bern;3000;BE;52;Aare Marzili;Fluss;4.4
2002-01-01 09:10:01;14;Zürichsee;;;Zürich;;ZH;43;Tiefenbrunnen;See;0
2002-01-01 09:10:01;14;Zürichsee;;;Zürich;;ZH;44;Mythenquai;See;0
2002-01-01 09:15:03;17;Stadt Bern;;;Bern;3000;BE;52;Aare Marzili;Fluss;4.4
2002-01-01 10:10:01;14;Zürichsee;;;Zürich;;ZH;43;Tiefenbrunnen;See;0
2002-01-01 10:10:01;14;Zürichsee;;;Zürich;;ZH;44;Mythenquai;See;0
2002-01-01 10:15:02;17;Stadt Bern;;;Bern;3000;BE;52;Aare Marzili;Fluss;4.4
2002-01-01 11:10:01;14;Zürichsee;;;Zürich;;ZH;44;Mythenquai;See;0
2002-01-01 11:10:02;14;Zürichsee;;;Zürich;;ZH;43;Tiefenbrunnen;See;0
2002-01-01 11:15:01;17;Stadt Bern;;;Bern;3000;BE;52;Aare Marzili;Fluss;4.4
2002-01-01 12:10:01;14;Zürichsee;;;Zürich;;ZH;43;Tiefenbrunnen;See;0
2002-01-01 12:10:01;14;Zürichsee;;;Zürich;;ZH;44;Mythenquai;See;0
2002-01-01 12:15:01;17;Stadt Bern;;;Bern;3000;BE;52;Aare Marzili;Fluss;4.4
2002-01-01 13:10:02;14;Zürichsee;;;Zürich;;ZH;43;Tiefenbrunnen;See;0
2002-01-01 13:10:02;14;Zürichsee;;;Zürich;;ZH;44;Mythenquai;See;0
2002-01-01 13:15:02;17;Stadt Bern;;;Bern;3000;BE;52;Aare Marzili;Fluss;4.3
2002-01-01 14:10:01;14;Zürichsee;;;Zürich;;ZH;43;Tiefenbrunnen;See;0
2002-01-01 14:10:01;14;Zürichsee;;;Zürich;;ZH;44;Mythenquai;See;0
2002-01-01 14:15:03;17;Stadt Bern;;;Bern;3000;BE;52;Aare Marzili;Fluss;4.3
2002-01-01 15:10:02;14;Zürichsee;;;Zürich;;ZH;44;Mythenquai;See;0
2002-01-01 15:10:03;14;Zürichsee;;;Zürich;;ZH;43;Tiefenbrunnen;See;0
2002-01-01 15:15:03;17;Stadt Bern;;;Bern;3000;BE;52;Aare Marzili;Fluss;4.3
2002-01-01 16:10:01;14;Zürichsee;;;Zürich;;ZH;43;Tiefenbrunnen;See;0
2002-01-01 16:10:01;14;Zürichsee;;;Zürich;;ZH;44;Mythenquai;See;0
2002-01-01 16:15:01;17;Stadt Bern;;;Bern;3000;BE;52;Aare Marzili;Fluss;4.3
2002-01-01 17:10:01;14;Zürichsee;;;Zürich;;ZH;43;Tiefenbrunnen;See;0
2002-01-01 17:10:01;14;Zürichsee;;;Zürich;;ZH;44;Mythenquai;See;0
2002-01-01 17:15:01;17;Stadt Bern;;;Bern;3000;BE;52;Aare Marzili;Fluss;4.3
2002-01-01 18:10:01;14;Zürichsee;;;Zürich;;ZH;43;Tiefenbrunnen;See;0
2002-01-01 18:10:01;14;Zürichsee;;;Zürich;;ZH;44;Mythenquai;See;0
2002-01-01 18:15:01;17;Stadt Bern;;;Bern;3000;BE;52;Aare Marzili;Fluss;4.3
2002-01-01 19:10:01;14;Zürichsee;;;Zürich;;ZH;43;Tiefenbrunnen;See;0
2002-01-01 19:10:01;14;Zürichsee;;;Zürich;;ZH;44;Mythenquai;See;0
2002-01-01 19:15:01;17;Stadt Bern;;;Bern;3000;BE;52;Aare Marzili;Fluss;4.9
2002-01-01 20:10:01;14;Zürichsee;;;Zürich;;ZH;43;Tiefenbrunnen;See;0
2002-01-01 20:10:01;14;Zürichsee;;;Zürich;;ZH;44;Mythenquai;See;0
2002-01-01 20:15:01;17;Stadt Bern;;;Bern;3000;BE;52;Aare Marzili;Fluss;4.9
2002-01-01 21:10:01;14;Zürichsee;;;Zürich;;ZH;43;Tiefenbrunnen;See;0
2002-01-01 21:10:01;14;Zürichsee;;;Zürich;;ZH;44;Mythenquai;See;0
2002-01-01 21:15:01;17;Stadt Bern;;;Bern;3000;BE;52;Aare Marzili;Fluss;4.9
2002-01-01 22:10:02;14;Zürichsee;;;Zürich;;ZH;44;Mythenquai;See;0
2002-01-01 22:10:03;14;Zürichsee;;;Zürich;;ZH;43;Tiefenbrunnen;See;0
2002-01-01 22:15:02;17;Stadt Bern;;;Bern;3000;BE;52;Aare Marzili;Fluss;4.9
2002-01-01 23:10:03;14;Zürichsee;;;Zürich;;ZH;44;Mythenquai;See;0
2002-01-01 23:10:04;14;Zürichsee;;;Zürich;;ZH;43;Tiefenbrunnen;See;0
2002-01-01 23:15:01;17;Stadt Bern;;;Bern;3000;BE;52;Aare Marzili;Fluss;4.9
2002-01-02 00:10:02;14;Zürichsee;;;Zürich;;ZH;43;Tiefenbrunnen;See;0
2002-01-02 00:10:02;14;Zürichsee;;;Zürich;;ZH;44;Mythenquai;See;0
2002-01-02 00:15:02;17;Stadt Bern;;;Bern;3000;BE;52;Aare Marzili;Fluss;4.9
2002-01-02 01:10:01;14;Zürichsee;;;Zürich;;ZH;43;Tiefenbrunnen;See;0
2002-01-02 01:10:01;14;Zürichsee;;;Zürich;;ZH;44;Mythenquai;See;0
2002-01-02 01:15:01;17;Stadt Bern;;;Bern;3000;BE;52;Aare Marzili;Fluss;4.9
2002-01-02 02:10:02;14;Zürichsee;;;Zürich;;ZH;43;Tiefenbrunnen;See;0
2002-01-02 02:10:02;14;Zürichsee;;;Zürich;;ZH;44;Mythenquai;See;0
2002-01-02 02:15:02;17;Stadt Bern;;;Bern;3000;BE;52;Aare Marzili;Fluss;4.9
2002-01-02 03:10:01;14;Zürichsee;;;Zürich;;ZH;43;Tiefenbrunnen;See;0
2002-01-02 03:10:01;14;Zürichsee;;;Zürich;;ZH;44;Mythenquai;See;0
2002-01-02 03:15:01;17;Stadt Bern;;;Bern;3000;BE;52;Aare Marzili;Fluss;4.9
2002-01-02 04:10:01;14;Zürichsee;;;Zürich;;ZH;43;Tiefenbrunnen;See;0
2002-01-02 04:10:01;14;Zürichsee;;;Zürich;;ZH;44;Mythenquai;See;0
2002-01-02 04:15:02;17;Stadt Bern;;;Bern;3000;BE;52;Aare Marzili;Fluss;4.3
2002-01-02 05:10:01;14;Zürichsee;;;Zürich;;ZH;43;Tiefenbrunnen;See;0
2002-01-02 05:10:01;14;Zürichsee;;;Zürich;;ZH;44;Mythenquai;See;0
2002-01-02 05:15:01;17;Stadt Bern;;;Bern;3000;BE;52;Aare Marzili;Fluss;4.3
2002-01-02 06:10:01;14;Zürichsee;;;Zürich;;ZH;43;Tiefenbrunnen;See;0
2002-01-02 06:10:01;14;Zürichsee;;;Zürich;;ZH;44;Mythenquai;See;0
2002-01-02 06:15:01;17;Stadt Bern;;;Bern;3000;BE;52;Aare Marzili;Fluss;4.3
2002-01-02 07:10:01;14;Zürichsee;;;Zürich;;ZH;43;Tiefenbrunnen;See;0
2002-01-02 07:10:01;14;Zürichsee;;;Zürich;;ZH;44;Mythenquai;See;0
2002-01-02 07:15:01;17;Stadt Bern;;;Bern;3000;BE;52;Aare Marzili;Fluss;4.1
2002-01-02 08:10:01;14;Zürichsee;;;Zürich;;ZH;43;Tiefenbrunnen;See;0
2002-01-02 08:10:01;14;Zürichsee;;;Zürich;;ZH;44;Mythenquai;See;0
2002-01-02 08:15:01;17;Stadt Bern;;;Bern;3000;BE;52;Aare Marzili;Fluss;4.1
2002-01-02 09:10:02;14;Zürichsee;;;Zürich;;ZH;43;Tiefenbrunnen;See;0
2002-01-02 09:10:02;14;Zürichsee;;;Zürich;;ZH;44;Mythenquai;See;0
2002-01-02 09:15:02;17;Stadt Bern;;;Bern;3000;BE;52;Aare Marzili;Fluss;4.1
2002-01-02 10:10:01;14;Zürichsee;;;Zürich;;ZH;43;Tiefenbrunnen;See;0
2002-01-02 10:10:01;14;Zürichsee;;;Zürich;;ZH;44;Mythenquai;See;0
2002-01-02 10:15:01;17;Stadt Bern;;;Bern;3000;BE;52;Aare Marzili;Fluss;4.1
2002-01-02 11:10:02;14;Zürichsee;;;Zürich;;ZH;44;Mythenquai;See;0
2002-01-02 11:10:03;14;Zürichsee;;;Zürich;;ZH;43;Tiefenbrunnen;See;0
2002-01-02 11:15:02;17;Stadt Bern;;;Bern;3000;BE;52;Aare Marzili;Fluss;4.1
2002-01-02 12:10:01;14;Zürichsee;;;Zürich;;ZH;43;Tiefenbrunnen;See;0
2002-01-02 12:10:01;14;Zürichsee;;;Zürich;;ZH;44;Mythenquai;See;0
2002-01-02 12:15:01;17;Stadt Bern;;;Bern;3000;BE;52;Aare Marzili;Fluss;4.1
2002-01-02 13:10:01;14;Zürichsee;;;Zürich;;ZH;43;Tiefenbrunnen;See;0
2002-01-02 13:10:01;14;Zürichsee;;;Zürich;;ZH;44;Mythenquai;See;0
2002-01-02 13:15:01;17;Stadt Bern;;;Bern;3000;BE;52;Aare Marzili;Fluss;4.1
2002-01-02 14:10:01;14;Zürichsee;;;Zürich;;ZH;43;Tiefenbrunnen;See;0
2002-01-02 14:10:01;14;Zürichsee;;;Zürich;;ZH;44;Mythenquai;See;0
2002-01-02 14:15:01;17;Stadt Bern;;;Bern;3000;BE;52;Aare Marzili;Fluss;4.1
2002-01-02 15:10:01;14;Zürichsee;;;Zürich;;ZH;43;Tiefenbrunnen;See;0
2002-01-02 15:10:01;14;Zürichsee;;;Zürich;;ZH;44;Mythenquai;See;0
2002-01-02 15:15:01;17;Stadt Bern;;;Bern;3000;BE;52;Aare Marzili;Fluss;4.1
2002-01-02 16:10:01;14;Zürichsee;;;Zürich;;ZH;43;Tiefenbrunnen;See;0
2002-01-02 16:10:01;14;Zürichsee;;;Zürich;;ZH;44;Mythenquai;See;0
2002-01-02 16:15:01;17;Stadt Bern;;;Bern;3000;BE;52;Aare Marzili;Fluss;4.1
2002-01-02 17:10:01;14;Zürichsee;;;Zürich;;ZH;43;Tiefenbrunnen;See;0
2002-01-02 17:10:01;14;Zürichsee;;;Zürich;;ZH;44;Mythenquai;See;0
2002-01-02 17:15:01;17;Stadt Bern;;;Bern;3000;BE;52;Aare Marzili;Fluss;4.1
2002-01-02 18:10:02;14;Zürichsee;;;Zürich;;ZH;43;Tiefenbrunnen;See;0
2002-01-02 18:10:02;14;Zürichsee;;;Zürich;;ZH;44;Mythenquai;See;0
2002-01-02 18:15:02;17;Stadt Bern;;;Bern;3000;BE;52;Aare Marzili;Fluss;4.1
2002-01-02 19:10:01;14;Zürichsee;;;Zürich;;ZH;43;Tiefenbrunnen;See;0
2002-01-02 19:10:01;14;Zürichsee;;;Zürich;;ZH;44;Mythenquai;See;0
2002-01-02 19:15:03;17;Stadt Bern;;;Bern;3000;BE;52;Aare Marzili;Fluss;4.6
2002-01-02 20:10:02;14;Zürichsee;;;Zürich;;ZH;43;Tiefenbrunnen;See;0
2002-01-02 20:10:02;14;Zürichsee;;;Zürich;;ZH;44;Mythenquai;See;0
2002-01-02 20:15:02;17;Stadt Bern;;;Bern;3000;BE;52;Aare Marzili;Fluss;4.6
2002-01-02 21:10:01;14;Zürichsee;;;Zürich;;ZH;43;Tiefenbrunnen;See;0
2002-01-02 21:10:01;14;Zürichsee;;;Zürich;;ZH;44;Mythenquai;See;0
2002-01-02 21:15:01;17;Stadt Bern;;;Bern;3000;BE;52;Aare Marzili;Fluss;4.6
2002-01-02 22:10:01;14;Zürichsee;;;Zürich;;ZH;43;Tiefenbrunnen;See;0
2002-01-02 22:10:01;14;Zürichsee;;;Zürich;;ZH;44;Mythenquai;See;0
2002-01-02 22:15:02;17;Stadt Bern;;;Bern;3000;BE;52;Aare Marzili;Fluss;4.6
2002-01-02 23:10:01;14;Zürichsee;;;Zürich;;ZH;43;Tiefenbrunnen;See;0
2002-01-02 23:10:01;14;Zürichsee;;;Zürich;;ZH;44;Mythenquai;See;0
2002-01-02 23:15:01;17;Stadt Bern;;;Bern;3000;BE;52;Aare Marzili;Fluss;4.6
2002-01-03 00:10:01;14;Zürichsee;;;Zürich;;ZH;43;Tiefenbrunnen;See;0
2002-01-03 00:10:01;14;Zürichsee;;;Zürich;;ZH;44;Mythenquai;See;0
2002-01-03 00:15:01;17;Stadt Bern;;;Bern;3000;BE;52;Aare Marzili;Fluss;4.6
2002-01-03 01:10:01;14;Zürichsee;;;Zürich;;ZH;43;Tiefenbrunnen;See;0
2002-01-03 01:10:01;14;Zürichsee;;;Zürich;;ZH;44;Mythenquai;See;0
2002-01-03 01:15:01;17;Stadt Bern;;;Bern;3000;BE;52;Aare Marzili;Fluss;4.6
2002-01-03 02:10:02;14;Zürichsee;;;Zürich;;ZH;44;Mythenquai;See;0
2002-01-03 02:10:04;14;Zürichsee;;;Zürich;;ZH;43;Tiefenbrunnen;See;0
2002-01-03 02:15:01;17;Stadt Bern;;;Bern;3000;BE;52;Aare Marzili;Fluss;4.6
2002-01-03 03:10:02;14;Zürichsee;;;Zürich;;ZH;43;Tiefenbrunnen;See;0
2002-01-03 03:10:02;14;Zürichsee;;;Zürich;;ZH;44;Mythenquai;See;0
2002-01-03 03:15:02;17;Stadt Bern;;;Bern;3000;BE;52;Aare Marzili;Fluss;4.6
2002-01-03 04:10:01;14;Zürichsee;;;Zürich;;ZH;43;Tiefenbrunnen;See;0
2002-01-03 04:10:01;14;Zürichsee;;;Zürich;;ZH;44;Mythenquai;See;0
2002-01-03 04:15:01;17;Stadt Bern;;;Bern;3000;BE;52;Aare Marzili;Fluss;4.3
2002-01-03 05:15:02;17;Stadt Bern;;;Bern;3000;BE;52;Aare Marzili;Fluss;4.3
2002-01-03 06:10:01;14;Zürichsee;;;Zürich;;ZH;43;Tiefenbrunnen;See;0
2002-01-03 06:10:01;14;Zürichsee;;;Zürich;;ZH;44;Mythenquai;See;0
2002-01-03 06:15:01;17;Stadt Bern;;;Bern;3000;BE;52;Aare Marzili;Fluss;4.3
2002-01-03 07:10:01;14;Zürichsee;;;Zürich;;ZH;43;Tiefenbrunnen;See;0
2002-01-03 07:10:01;14;Zürichsee;;;Zürich;;ZH;44;Mythenquai;See;0
2002-01-03 07:15:02;17;Stadt Bern;;;Bern;3000;BE;52;Aare Marzili;Fluss;4.2
2002-01-03 08:10:01;14;Zürichsee;;;Zürich;;ZH;43;Tiefenbrunnen;See;0
2002-01-03 08:10:01;14;Zürichsee;;;Zürich;;ZH;44;Mythenquai;See;0
2002-01-03 08:15:02;17;Stadt Bern;;;Bern;3000;BE;52;Aare Marzili;Fluss;4.2
2002-01-03 09:10:01;14;Zürichsee;;;Zürich;;ZH;44;Mythenquai;See;0
2002-01-03 09:10:02;14;Zürichsee;;;Zürich;;ZH;43;Tiefenbrunnen;See;0
2002-01-03 09:15:01;17;Stadt Bern;;;Bern;3000;BE;52;Aare Marzili;Fluss;4.2
2002-01-03 10:10:01;14;Zürichsee;;;Zürich;;ZH;43;Tiefenbrunnen;See;0
2002-01-03 10:10:01;14;Zürichsee;;;Zürich;;ZH;44;Mythenquai;See;0
2002-01-03 10:15:01;17;Stadt Bern;;;Bern;3000;BE;52;Aare Marzili;Fluss;4.2
2002-01-03 11:10:01;14;Zürichsee;;;Zürich;;ZH;44;Mythenquai;See;0
2002-01-03 11:10:02;14;Zürichsee;;;Zürich;;ZH;43;Tiefenbrunnen;See;0
2002-01-03 11:15:01;17;Stadt Bern;;;Bern;3000;BE;52;Aare Marzili;Fluss;4.2
2002-01-03 12:10:02;14;Zürichsee;;;Zürich;;ZH;44;Mythenquai;See;0
2002-01-03 12:10:03;14;Zürichsee;;;Zürich;;ZH;43;Tiefenbrunnen;See;0
2002-01-03 13:10:02;14;Zürichsee;;;Zürich;;ZH;44;Mythenquai;See;0
2002-01-03 13:10:03;14;Zürichsee;;;Zürich;;ZH;43;Tiefenbrunnen;See;0
2002-01-03 13:15:02;17;Stadt Bern;;;Bern;3000;BE;52;Aare Marzili;Fluss;4.3
2002-01-03 14:10:04;14;Zürichsee;;;Zürich;;ZH;43;Tiefenbrunnen;See;0
2002-01-03 14:10:04;14;Zürichsee;;;Zürich;;ZH;44;Mythenquai;See;0
2002-01-03 14:15:02;17;Stadt Bern;;;Bern;3000;BE;52;Aare Marzili;Fluss;4.3
2002-01-03 15:10:02;14;Zürichsee;;;Zürich;;ZH;43;Tiefenbrunnen;See;0
2002-01-03 15:10:02;14;Zürichsee;;;Zürich;;ZH;44;Mythenquai;See;0
2002-01-03 15:15:02;17;Stadt Bern;;;Bern;3000;BE;52;Aare Marzili;Fluss;4.3
2002-01-03 16:10:01;14;Zürichsee;;;Zürich;;ZH;43;Tiefenbrunnen;See;0
2002-01-03 16:10:01;14;Zürichsee;;;Zürich;;ZH;44;Mythenquai;See;0
2002-01-03 16:15:03;17;Stadt Bern;;;Bern;3000;BE;52;Aare Marzili;Fluss;4.3
2002-01-03 17:10:01;14;Zürichsee;;;Zürich;;ZH;43;Tiefenbrunnen;See;0
2002-01-03 17:10:01;14;Zürichsee;;;Zürich;;ZH;44;Mythenquai;See;0
